"","N","DE","P.DE","FDR"
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",450,30,2.13491456448923e-12,1.00874713172116e-08
"LIM_MAMMARY_STEM_CELL_DN",428,24,4.09836189198336e-09,9.68237996981069e-06
"MCBRYAN_PUBERTAL_BREAST_4_5WK_UP",271,18,4.63973328193234e-07,0.000730757991904343
"PID_RXR_VDR_PATHWAY",26,6,7.44379767586179e-07,0.000879298600461174
"ZWANG_EGF_INTERVAL_DN",214,14,2.79157001010492e-06,0.00263803365954915
"COLDREN_GEFITINIB_RESISTANCE_DN",230,14,5.32236621238338e-06,0.00378086964838488
"SESTO_RESPONSE_TO_UV_C5",46,6,5.6012883679776e-06,0.00378086964838488
"GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP",142,10,1.58321336234207e-05,0.00871374450309157
"XU_GH1_EXOGENOUS_TARGETS_DN",120,9,2.05345379419045e-05,0.00871374450309157
"KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3",824,29,2.18083394389994e-05,0.00871374450309157
"PILON_KLF1_TARGETS_DN",1972,43,2.2164027786725e-05,0.00871374450309157
"JONES_TCOF1_TARGETS",5,2,2.29065537573004e-05,0.00871374450309157
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN",505,22,2.39743235005694e-05,0.00871374450309157
"LEIN_CEREBELLUM_MARKERS",85,8,5.10458207245455e-05,0.0164330615850684
"SENESE_HDAC3_TARGETS_DN",536,20,5.28355298470518e-05,0.0164330615850684
"WILLIAMS_ESR2_TARGETS_UP",28,4,5.93631510436396e-05,0.0164330615850684
"BIOCARTA_ETS_PATHWAY",18,3,5.95489568388041e-05,0.0164330615850684
"BIOCARTA_RARRXR_PATHWAY",15,3,6.26021393716891e-05,0.0164330615850684
"KRIEG_HYPOXIA_NOT_VIA_KDM3A",770,25,9.1475059697642e-05,0.0220176970625409
"BOYLAN_MULTIPLE_MYELOMA_C_D_DN",252,14,9.49880389024342e-05,0.0220176970625409
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI",16,3,0.000102978787655115,0.0220176970625409
"GENTILE_RESPONSE_CLUSTER_D3",61,5,0.000106106847121358,0.0220176970625409
"WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP",265,12,0.000108649110174709,0.0220176970625409
"BURTON_ADIPOGENESIS_4",48,5,0.000113880751872058,0.0220176970625409
"ZHENG_FOXP3_TARGETS_DN",5,2,0.000118341882475014,0.0220176970625409
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP",380,16,0.000121155581719802,0.0220176970625409
"TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP",271,14,0.000138036127287414,0.0241563222752974
"CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP",121,8,0.000144106883965397,0.0243180366691608
"LEE_BMP2_TARGETS_UP",745,28,0.000150809829073181,0.0245716014610615
"PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN",180,9,0.000162403698485699,0.0249365535723481
"BIOCARTA_NDKDYNAMIN_PATHWAY",21,3,0.000163978219369991,0.0249365535723481
"ZHENG_BOUND_BY_FOXP3",491,20,0.000172890151533472,0.0249365535723481
"FARMER_BREAST_CANCER_APOCRINE_VS_BASAL",330,14,0.000174160056695764,0.0249365535723481
"MARTENS_BOUND_BY_PML_RARA_FUSION",456,20,0.000183497944492431,0.0255008172860805
"ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP",63,5,0.00020448151791193,0.0256513216441015
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3",720,24,0.000212854840535698,0.0256513216441015
"MULLIGHAN_MLL_SIGNATURE_2_UP",418,16,0.000217131011506184,0.0256513216441015
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,25,0.000219890077776769,0.0256513216441015
"KIM_MYCN_AMPLIFICATION_TARGETS_DN",103,7,0.000228760732950865,0.0256513216441015
"SMID_BREAST_CANCER_NORMAL_LIKE_DN",6,2,0.000232753732449621,0.0256513216441015
"CUI_TCF21_TARGETS_2_DN",830,29,0.000235686616962575,0.0256513216441015
"RODWELL_AGING_KIDNEY_DN",145,8,0.000238729340278311,0.0256513216441015
"FALVELLA_SMOKERS_WITH_LUNG_CANCER",80,6,0.000245312866173597,0.0256513216441015
"FARMER_BREAST_CANCER_CLUSTER_7",20,3,0.000246763085448678,0.0256513216441015
"GAVIN_FOXP3_TARGETS_CLUSTER_P3",160,10,0.000249375685161812,0.0256513216441015
"OUYANG_PROSTATE_CANCER_MARKERS",19,3,0.000249727152514004,0.0256513216441015
"MULLIGHAN_MLL_SIGNATURE_1_UP",380,15,0.000262411805570196,0.0263807613046633
"GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN",1781,39,0.000287611086805032,0.0283117163573703
"GARY_CD5_TARGETS_UP",473,16,0.00030972202957253,0.0298660528516368
"GOZGIT_ESR1_TARGETS_DN",781,26,0.000332430475038595,0.0314146798911472
