Dimension,Est,Conf95low,Conf95high,Pvalue,Mark,Sig
VAE24,1.909792222,1.272100414,2.859625605,0.001435985,Enhancer,TRUE
VAE35,2.91301963,1.889947375,4.52541567,4.32E-07,Enhancer,TRUE
VAE43,1.10790475,0.758493925,1.599322234,0.579613058,Enhancer,FALSE
VAE91,2.30042021,1.682732879,3.147634447,8.65E-08,Enhancer,TRUE
VAE93,0.580552225,0.288513712,1.088850389,0.097892941,Enhancer,FALSE
VAE22,2.507195461,1.932628191,3.257052018,1.34E-12,Enhancer,TRUE
VAE63,0.115421836,0.04550715,0.244695416,2.06E-14,Enhancer,TRUE
VAE24,2.475446197,1.629018345,3.818915051,6.45E-06,OpenSea,TRUE
VAE35,2.847003092,1.806227389,4.585600555,1.38E-06,OpenSea,TRUE
VAE43,1.793321191,1.257896498,2.57016028,0.000891286,OpenSea,TRUE
VAE91,2.170578002,1.576360224,3.009178212,7.92E-07,OpenSea,TRUE
VAE93,1.764140108,1.031839342,3.052564817,0.028209004,OpenSea,TRUE
VAE22,2.006769446,1.540673363,2.624065892,8.28E-08,OpenSea,TRUE
VAE63,0.933743714,0.652706613,1.328333014,0.730428843,OpenSea,FALSE
VAE24,0.033999137,0.000856934,0.193714801,2.68E-10,Island,TRUE
VAE35,0.244315806,0.087232495,0.553976893,7.76E-05,Island,TRUE
VAE43,0.079588777,0.016196748,0.237758749,2.76E-11,Island,TRUE
VAE91,0.04168941,0.005023085,0.152978816,8.25E-16,Island,TRUE
VAE93,0.382015432,0.134362605,0.886045301,0.019752806,Island,TRUE
VAE22,0.401582467,0.254218297,0.609089628,1.92E-06,Island,TRUE
VAE63,1.393594887,0.935602956,2.039828496,0.080879429,Island,FALSE
VAE24,0.483988935,0.203086974,0.992809983,0.050704943,N_Shore,FALSE
VAE35,0.263993459,0.070390049,0.700396886,0.002811491,N_Shore,TRUE
VAE43,1.010055238,0.594627307,1.633796083,0.903652969,N_Shore,FALSE
VAE91,0.401800125,0.196556287,0.738847786,0.001504426,N_Shore,TRUE
VAE93,0.752867423,0.288946946,1.660100871,0.588816133,N_Shore,FALSE
VAE22,0.880830407,0.587135745,1.28231454,0.585857563,N_Shore,FALSE
