"","Term","Ont","N","DE","P.DE","FDR"
"GO:0001533","cornified envelope","CC",38,3,5.28124509963248e-05,1
"GO:0018149","peptide cross-linking","BP",45,3,0.000157073762076439,1
"GO:0030216","keratinocyte differentiation","BP",104,3,0.00126860379682493,1
"GO:0043588","skin development","BP",199,4,0.00166724581934434,1
"GO:0035963","cellular response to interleukin-13","BP",1,1,0.00180296831283643,1
"GO:0097260","eoxin A4 synthase activity","MF",1,1,0.00180296831283643,1
"GO:1901074","regulation of engulfment of apoptotic cell","BP",1,1,0.00180296831283643,1
"GO:0055130","D-alanine catabolic process","BP",1,1,0.00182681746467826,1
"GO:0046144","D-alanine family amino acid metabolic process","BP",1,1,0.00182681746467826,1
"GO:0046436","D-alanine metabolic process","BP",1,1,0.00182681746467826,1
"GO:0036088","D-serine catabolic process","BP",1,1,0.00182681746467826,1
"GO:0070178","D-serine metabolic process","BP",1,1,0.00182681746467826,1
"GO:0031424","keratinization","BP",40,2,0.00270148140822688,1
"GO:0008544","epidermis development","BP",240,4,0.0028152827275007,1
"GO:0071704","organic substance metabolic process","BP",6987,24,0.0037201894204259,1
"GO:0003884","D-amino-acid oxidase activity","MF",2,1,0.00377835984248198,1
"GO:0009913","epidermal cell differentiation","BP",143,3,0.00380903683151798,1
"GO:0035962","response to interleukin-13","BP",2,1,0.00469637690008016,1
"GO:0046416","D-amino acid metabolic process","BP",3,1,0.0046977323934685,1
"GO:0006562","proline catabolic process","BP",4,1,0.00566829356990475,1
"GO:0005198","structural molecule activity","MF",505,5,0.00630433994359258,1
"GO:0008152","metabolic process","BP",7220,24,0.0063284735295849,1
"GO:1901570","fatty acid derivative biosynthetic process","BP",2,1,0.00664270996877628,1
"GO:0047977","hepoxilin-epoxide hydrolase activity","MF",2,1,0.00664270996877628,1
"GO:0051120","hepoxilin A3 synthase activity","MF",2,1,0.00664270996877628,1
"GO:2001303","lipoxin A4 biosynthetic process","BP",2,1,0.00664270996877628,1
"GO:2001302","lipoxin A4 metabolic process","BP",2,1,0.00664270996877628,1
"GO:2001301","lipoxin biosynthetic process","BP",2,1,0.00664270996877628,1
"GO:0008457","beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity","MF",1,1,0.0070566120975656,1
"GO:0047256","lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase activity","MF",1,1,0.0070566120975656,1
"GO:0006027","glycosaminoglycan catabolic process","BP",45,2,0.00749062811514253,1
"GO:0006026","aminoglycan catabolic process","BP",49,2,0.00799373406674578,1
"GO:1990031","pinceau fiber","CC",1,1,0.00827857080415078,1
"GO:0006560","proline metabolic process","BP",6,1,0.0083339383393212,1
"GO:0047134","protein-disulfide reductase activity","MF",1,1,0.00838226729234864,1
"GO:0043170","macromolecule metabolic process","BP",5923,21,0.00879475059483447,1
"GO:0060743","epithelial cell maturation involved in prostate gland development","BP",2,1,0.00932225269712475,1
"GO:0032824","negative regulation of natural killer cell differentiation","BP",3,1,0.00956694849765794,1
"GO:0032827","negative regulation of natural killer cell differentiation involved in immune response","BP",3,1,0.00956694849765794,1
"GO:0021568","rhombomere 2 development","BP",2,1,0.00972929962848547,1
"GO:0009071","serine family amino acid catabolic process","BP",5,1,0.00984828886448272,1
"GO:0050473","arachidonate 15-lipoxygenase activity","MF",3,1,0.0103156219427388,1
"GO:0004052","arachidonate 12-lipoxygenase activity","MF",3,1,0.010713518915974,1
"GO:0043652","engulfment of apoptotic cell","BP",4,1,0.0107754701730621,1
"GO:0002325","natural killer cell differentiation involved in immune response","BP",4,1,0.0107860128239007,1
"GO:0032826","regulation of natural killer cell differentiation involved in immune response","BP",4,1,0.0107860128239007,1
"GO:0032815","negative regulation of natural killer cell activation","BP",4,1,0.0112831623557245,1
"GO:0008745","N-acetylmuramoyl-L-alanine amidase activity","MF",4,1,0.0113718258277294,1
"GO:0021658","rhombomere 3 morphogenesis","BP",2,1,0.0119410211134502,1
"GO:0021593","rhombomere morphogenesis","BP",2,1,0.0119410211134502,1
