"","N","DE","P.DE","FDR"
"NUMATA_CSF3_SIGNALING_VIA_STAT3",22,3,1.71881592392208e-06,0.00812140524053181
"BIOCARTA_PPARA_PATHWAY",58,3,2.95604199965859e-05,0.038415880213495
"HEIDENBLAD_AMPLICON_12P11_12_UP",33,2,3.37733695743619e-05,0.038415880213495
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN",51,2,4.09396808574533e-05,0.038415880213495
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP",31,2,5.63371224147076e-05,0.038415880213495
"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER",23,1,6.37303017563606e-05,0.038415880213495
"REACTOME_MRNA_CAPPING",30,1,6.72336351308929e-05,0.038415880213495
"NIELSEN_LIPOSARCOMA_UP",18,2,6.75099954885185e-05,0.038415880213495
"REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX",30,1,7.3173105168562e-05,0.038415880213495
"HOFMANN_CELL_LYMPHOMA_UP",50,2,0.000115215350611327,0.0410622818421566
"CORRE_MULTIPLE_MYELOMA_UP",74,3,0.000122440261073886,0.0410622818421566
"ALCALAY_AML_BY_NPM1_LOCALIZATION_DN",184,4,0.000151861593223246,0.0410622818421566
"REACTOME_GLOBAL_GENOMIC_NER_GG_NER",35,1,0.000165842537541867,0.0410622818421566
"PID_RETINOIC_ACID_PATHWAY",30,2,0.000187338228898779,0.0410622818421566
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",12,1,0.000198901139905035,0.0410622818421566
"REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION",22,1,0.000204227781327672,0.0410622818421566
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",40,2,0.000210131687218269,0.0410622818421566
"REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION",25,1,0.000214330306191457,0.0410622818421566
"BIOCARTA_P35ALZHEIMERS_PATHWAY",11,1,0.000219193624995553,0.0410622818421566
"BIOCARTA_BIOPEPTIDES_PATHWAY",45,2,0.000220490204490625,0.0410622818421566
"NATSUME_RESPONSE_TO_INTERFERON_BETA_DN",52,2,0.000221620112391491,0.0410622818421566
"HEIDENBLAD_AMPLIFIED_IN_SOFT_TISSUE_CANCER",13,1,0.000236767412416157,0.0410622818421566
"REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING",41,1,0.000256976265048355,0.0410622818421566
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",44,1,0.000267503434121008,0.0410622818421566
"PENG_RAPAMYCIN_RESPONSE_UP",203,4,0.000270589490029225,0.0410622818421566
"SU_PLACENTA",30,2,0.000273410933850191,0.0410622818421566
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",12,1,0.00027685467168762,0.0410622818421566
"TERAMOTO_OPN_TARGETS_CLUSTER_8",8,1,0.000278594913063973,0.0410622818421566
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN",855,8,0.000279574571496438,0.0410622818421566
"PID_TCR_RAS_PATHWAY",14,1,0.000283000125212661,0.0410622818421566
"REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER",45,1,0.000297373420308976,0.0410622818421566
"REACTOME_APOPTOTIC_EXECUTION_PHASE",54,2,0.000299980686853439,0.0410622818421566
"REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX",34,1,0.00030878281425964,0.0410622818421566
"BIOCARTA_PTC1_PATHWAY",11,1,0.000315361582925302,0.0410622818421566
"REACTOME_NUCLEOTIDE_EXCISION_REPAIR",51,1,0.000315735030577095,0.0410622818421566
"REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",15,1,0.000316825849243242,0.0410622818421566
"SHAFFER_IRF4_TARGETS_IN_ACTIVATED_DENDRITIC_CELL",65,2,0.00032154591072165,0.0410622818421566
"VANLOO_SP3_TARGETS_UP",9,1,0.000382478417224297,0.0449295165481926
"PID_ERB_GENOMIC_PATHWAY",15,1,0.000392108309198286,0.0449295165481926
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN",10,1,0.000405414473300932,0.0449295165481926
"SEMBA_FHIT_TARGETS_UP",11,1,0.000405470869975594,0.0449295165481926
"KEGG_VIBRIO_CHOLERAE_INFECTION",56,2,0.000411494883705245,0.0449295165481926
"BIOCARTA_IL5_PATHWAY",10,1,0.000417930613481408,0.0449295165481926
"HEIDENBLAD_AMPLIFIED_IN_BONE_CANCER",7,1,0.000418391265210683,0.0449295165481926
"BIOCARTA_FIBRINOLYSIS_PATHWAY",12,1,0.000465858834644862,0.0489151776377105
"ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF",222,4,0.000479207900828573,0.0492229854655437
"BIOCARTA_ETS_PATHWAY",18,1,0.000516928311043527,0.0513042408884904
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_",45,1,0.000521185939184664,0.0513042408884904
"ROVERSI_GLIOMA_LOH_REGIONS",44,2,0.000546045982993338,0.0516415175212065
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP",11,1,0.000546471084880492,0.0516415175212065
