"","Node","Est","Conf95low","Conf95high","Pvalue","Mark"
"2","VAE24",1.47549398842121,1.41538578871909,1.53802166353016,2.465410503927e-74,"Enhancer"
"3","VAE35",2.14359332220746,1.88659914638508,2.43564465424467,6.61748128978688e-32,"Enhancer"
"4","VAE43",1.5201219030703,1.44843376469622,1.59521597325878,4.98188484792273e-64,"Enhancer"
"5","VAE91",1.98022728278412,1.84743963862138,2.12245124665403,2.17393032309178e-82,"Enhancer"
"6","VAE93",0.781017173009916,0.691630671756407,0.880383772909469,3.68576497191302e-05,"Enhancer"
"7","VAE63",0.596469536904752,0.56929601963773,0.624797140913693,1.49430912941497e-114,"Enhancer"
"8","VAE37",2.34968048202766,1.93757384769767,2.85049802523788,1.4310646591254e-18,"Enhancer"
"9","VAE22",1.56064219296567,1.44120152256331,1.6896088848539,8.99139481092517e-28,"Enhancer"
"21","VAE24",0.877637042399889,0.839882351877365,0.916984076702185,3.81903102725039e-09,"Br_myo_H3K4me1"
"31","VAE35",2.62918684216677,2.31158616470326,2.9921675895428,1.18681139517702e-50,"Br_myo_H3K4me1"
"41","VAE43",1.23312280979408,1.17434716928285,1.29465565834228,4.1264494825542e-17,"Br_myo_H3K4me1"
"51","VAE91",1.15456013661131,1.07448644770131,1.24022623863723,8.16336055212189e-05,"Br_myo_H3K4me1"
"61","VAE93",0.532283358907568,0.466546386645964,0.60577859331049,3.93823435363497e-24,"Br_myo_H3K4me1"
"71","VAE63",0.122760543309404,0.113295422483047,0.132866512979916,0,"Br_myo_H3K4me1"
"81","VAE37",2.20426888863252,1.81757772428879,2.67438670839619,2.91602479176112e-16,"Br_myo_H3K4me1"
"91","VAE22",1.50631354194413,1.39140727779288,1.63026504703887,4.72391157063292e-24,"Br_myo_H3K4me1"
"22","VAE24",0.528885201085167,0.501245428770051,0.557839054378481,1.14876234842565e-136,"Br_myo_H3K4me3"
"32","VAE35",1.29831692599659,1.1328124746903,1.48568145466676,0.000150209796003955,"Br_myo_H3K4me3"
"42","VAE43",0.803392347582528,0.759802370010208,0.849150166418276,2.91097323077055e-15,"Br_myo_H3K4me3"
"52","VAE91",0.493376102107409,0.448705130766012,0.54169933414804,1.57726153584825e-57,"Br_myo_H3K4me3"
"62","VAE93",0.239707207079681,0.196883611935321,0.289589246743172,2.43592399507469e-72,"Br_myo_H3K4me3"
"72","VAE63",0.0354387863507131,0.0300202710663364,0.0415435337356236,0,"Br_myo_H3K4me3"
"82","VAE37",0.930249006071905,0.744763924624988,1.1551539486401,0.520899506167874,"Br_myo_H3K4me3"
"92","VAE22",1.14672009771071,1.05277678364503,1.24830018241674,0.00158919062116037,"Br_myo_H3K4me3"
