"","N","DE","P.DE","FDR"
"KEGG_OLFACTORY_TRANSDUCTION",389,8,6.57892945138657e-07,0.00256738647900867
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",328,7,1.08672443555923e-06,0.00256738647900867
"JIANG_CORE_DUPLICON_GENES",13,1,9.62205374628715e-05,0.12307275652129
"ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN",940,14,0.000104188576949241,0.12307275652129
"ZWANG_EGF_PERSISTENTLY_UP",32,2,0.000399421186392437,0.258251655740789
"WANG_THOC1_TARGETS_UP",5,1,0.000422472199758868,0.258251655740789
"LEE_CALORIE_RESTRICTION_MUSCLE_UP",43,2,0.00054141886407379,0.258251655740789
"NAKAMURA_BRONCHIAL_AND_BRONCHIOLAR_EPITHELIA",7,1,0.000638548085527069,0.258251655740789
"IKEDA_MIR1_TARGETS_DN",7,1,0.000732509402480658,0.258251655740789
"MATZUK_SPERMATID_DIFFERENTIATION",37,2,0.000733154798513639,0.258251655740789
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS",11,1,0.00082576611522151,0.258251655740789
"PID_IL23_PATHWAY",37,2,0.000895671938817572,0.258251655740789
"MARZEC_IL2_SIGNALING_DN",36,2,0.000976468620520242,0.258251655740789
"BIOCARTA_FIBRINOLYSIS_PATHWAY",12,1,0.00105617958179096,0.258251655740789
"NIKOLSKY_BREAST_CANCER_19Q13.4_AMPLICON",7,1,0.00115745284059902,0.258251655740789
"FREDERICK_PRKCI_TARGETS",10,1,0.001245121686205,0.258251655740789
"WARTERS_IR_RESPONSE_5GY",47,2,0.00131720083697436,0.258251655740789
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS",25,2,0.001335725935325,0.258251655740789
"NADELLA_PRKAR1A_TARGETS_UP",9,1,0.00139143794094487,0.258251655740789
"TSUTSUMI_FBXW8_TARGETS",9,1,0.00144088115335158,0.258251655740789
"REACTOME_COMMON_PATHWAY",14,1,0.00150004282915879,0.258251655740789
"HO_LIVER_CANCER_VASCULAR_INVASION",13,1,0.00157243638611438,0.258251655740789
"MATZUK_STEROIDOGENESIS",7,1,0.00164457734314935,0.258251655740789
"LU_TUMOR_VASCULATURE_DN",13,1,0.00177232363524505,0.258251655740789
"REACTOME_REGULATION_OF_COMPLEMENT_CASCADE",14,1,0.00178219142127586,0.258251655740789
"ZEMBUTSU_SENSITIVITY_TO_METHOTREXATE",18,1,0.00179900397531525,0.258251655740789
"NIKOLSKY_BREAST_CANCER_12Q24_AMPLICON",15,1,0.00192989893223947,0.258251655740789
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,2,0.00194620603211444,0.258251655740789
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",10,1,0.00205075230639491,0.258251655740789
"HASLINGER_B_CLL_WITH_17P13_DELETION",21,1,0.00225927312995409,0.258251655740789
"CAFFAREL_RESPONSE_TO_THC_24HR_3_DN",13,1,0.00231610751259924,0.258251655740789
"NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS",14,1,0.00231727487290787,0.258251655740789
"DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP",146,3,0.00249879267128261,0.258251655740789
"PARK_HSC_VS_MULTIPOTENT_PROGENITORS_UP",19,1,0.0025731901074104,0.258251655740789
"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",13,1,0.0027069628415308,0.258251655740789
"EHRLICH_ICF_SYNDROM_UP",13,1,0.00270911554026889,0.258251655740789
"DARWICHE_PAPILLOMA_RISK_HIGH_UP",147,3,0.00282174054910947,0.258251655740789
"KRASNOSELSKAYA_ILF3_TARGETS_DN",46,2,0.00291192636622506,0.258251655740789
"ZEMBUTSU_SENSITIVITY_TO_FLUOROURACIL",17,1,0.00326626129740388,0.258251655740789
"REACTOME_ENDOGENOUS_STEROLS",15,1,0.00330709649314068,0.258251655740789
"GENTLES_LEUKEMIC_STEM_CELL_DN",19,1,0.00339681029267406,0.258251655740789
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",69,2,0.00362598263264432,0.258251655740789
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",16,1,0.00381205028843007,0.258251655740789
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",27,1,0.00384217479230338,0.258251655740789
"REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL",137,4,0.00397915272895716,0.258251655740789
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",13,1,0.00404879864264577,0.258251655740789
"KAAB_FAILED_HEART_VENTRICLE_DN",41,1,0.0041017008012327,0.258251655740789
"GAVIN_PDE3B_TARGETS",22,1,0.00436185262213184,0.258251655740789
"REACTOME_GABA_B_RECEPTOR_ACTIVATION",38,2,0.004371717422351,0.258251655740789
"REACTOME_BETA_DEFENSINS",42,1,0.00443947542950323,0.258251655740789
