,vaeMedians,vaeERpos,vaeERneg
96,0.432732493,0.036992192,0.574237555
56,0.950278521,0.064109802,1.308525324
76,1.14571476,0.077828407,1.868075609
86,0.473863125,0.111156464,0.931723773
99,0.614531994,0.302270651,0.883116603
69,1.07547164,0.34964478,1.599203587
80,0.462153077,0.468658328,0.522016406
5,0.775678396,0.492966533,1.340199351
29,0.206892133,0.529099584,0.130343914
42,0.455599785,0.537885427,0.420817614
61,0.864429474,0.630142689,0.794381142
26,1.097441196,0.685473204,1.424052954
90,0.693934917,0.704923153,0.699972153
30,1.094037294,0.753041744,1.384019852
36,1.652629852,0.753278852,2.021746635
31,0.460653305,0.771393299,0.147792816
57,0.354812145,0.808932066,0.355538845
59,1.154450417,0.811478376,1.547003269
16,0.481175184,0.859802246,0.558987379
64,1.0037117,0.880491495,1.106896877
55,0.329120636,0.924300194,0.221111298
19,0.967875034,1.00472033,1.139766037
92,1.65518713,1.097167015,1.685311317
79,1.161378384,1.128539801,1.377123594
98,1.402705193,1.193609238,1.568282485
28,0.287258744,1.355930805,0.12411654
44,0.463650584,1.389310122,0.309553146
72,0.828960061,1.438998938,0.750523686
22,1.798143864,1.616550684,2.049497604
4,1.537003577,1.735359192,1.525445759
25,1.362952232,1.758833766,1.056035161
32,0.50497961,1.783328533,0.327967882
10,0.947884351,1.878591597,0.522024035
1,1.404038906,1.881952286,1.045304775
37,1.782141447,2.242386341,1.768086672
33,1.134248853,2.349881172,0.878530622
66,0.535799146,2.612504005,0.428572476
48,1.318052292,2.658172131,0.926174641
89,0.44523859,2.703357935,0.113763094
63,3.023411274,3.543978691,2.769556999
