"","N","DE","P.DE","FDR"
"OLSSON_E2F3_TARGETS_UP",28,3,2.29951523016198e-06,0.0108652094625153
"STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP",125,4,1.0487407691404e-05,0.024776500670942
"ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP",63,3,1.7840617894745e-05,0.0280989731842234
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_14",6,1,3.87461626141751e-05,0.038395838136268
"PID_EPHA2_FWD_PATHWAY",19,2,4.61585385442921e-05,0.038395838136268
"LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP",182,5,4.87566198555784e-05,0.038395838136268
"REACTOME_PROTEIN_FOLDING",53,2,6.10025117409504e-05,0.0411766954251415
"MODY_HIPPOCAMPUS_POSTNATAL",63,3,8.19156043498004e-05,0.0438815293361443
"STARK_HYPPOCAMPUS_22Q11_DELETION_UP",53,3,8.35838654021797e-05,0.0438815293361443
"BRUINS_UVC_RESPONSE_LATE",1137,10,0.000140369847786007,0.0646945960706536
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_UP",10,1,0.000150611758048082,0.0646945960706536
"YAN_ESCAPE_FROM_ANOIKIS",24,2,0.00017076445596693,0.0672385045369789
"SMID_BREAST_CANCER_ERBB2_DN",5,1,0.000229296356092661,0.0833404063490632
"DEN_INTERACT_WITH_LCA5",26,1,0.000261446627775456,0.0882382368742164
"SESTO_RESPONSE_TO_UV_C5",46,2,0.000358559106580968,0.101484614343041
"CUI_GLUCOSE_DEPRIVATION",60,2,0.000400384104637521,0.101484614343041
"PEREZ_TP53_TARGETS",1174,12,0.000424890938176483,0.101484614343041
"PID_RANBP2_PATHWAY",11,1,0.000433774066390335,0.101484614343041
"HOEGERKORP_CD44_TARGETS_TEMPORAL_UP",13,1,0.000451919671949266,0.101484614343041
"HAN_SATB1_TARGETS_DN",442,6,0.000493065379232019,0.101484614343041
"LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN",800,7,0.000512789456850894,0.101484614343041
"ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN",384,5,0.000519325738779517,0.101484614343041
"MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_DN",12,1,0.000527358569707513,0.101484614343041
"COLIN_PILOCYTIC_ASTROCYTOMA_VS_GLIOBLASTOMA_UP",35,2,0.00054034997301678,0.101484614343041
"WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_36HR",152,3,0.000554360651487733,0.101484614343041
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",19,1,0.000565180846701605,0.101484614343041
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",27,1,0.000594606378034592,0.101484614343041
"NIKOLSKY_BREAST_CANCER_17P11_AMPLICON",10,1,0.000657977906435978,0.101484614343041
"BHAT_ESR1_TARGETS_VIA_AKT1_UP",281,5,0.00072667939856641,0.101484614343041
"TOMLINS_METASTASIS_DN",20,1,0.000737381265905449,0.101484614343041
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_16",14,1,0.000743330812908826,0.101484614343041
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",43,2,0.000808212500900725,0.101484614343041
"VANHARANTA_UTERINE_FIBROID_UP",45,2,0.000816525112368077,0.101484614343041
"GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION",40,2,0.000836336295872445,0.101484614343041
"BIOCARTA_LEPTIN_PATHWAY",11,1,0.000867736759749348,0.101484614343041
"VANTVEER_BREAST_CANCER_ESR1_DN",240,4,0.000893636315700451,0.101484614343041
"WEST_ADRENOCORTICAL_TUMOR_DN",546,7,0.000916308296773832,0.101484614343041
"TARTE_PLASMA_CELL_VS_B_LYMPHOCYTE_UP",78,2,0.000933619717145665,0.101484614343041
"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",10,1,0.000953563459456918,0.101484614343041
"WINTER_HYPOXIA_UP",92,2,0.000958922003318695,0.101484614343041
"REACTOME_SIGNALING_BY_HIPPO",22,1,0.000961714742848176,0.101484614343041
"CAFFAREL_RESPONSE_TO_THC_24HR_3_DN",13,1,0.000978897600381703,0.101484614343041
"SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_UP",9,1,0.000985721230053823,0.101484614343041
"CHOI_ATL_CHRONIC_VS_ACUTE_DN",18,1,0.000988525477265273,0.101484614343041
"REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE",19,1,0.000997433121223959,0.101484614343041
"PID_RAC1_REG_PATHWAY",38,2,0.00103358941312326,0.101484614343041
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",60,2,0.00106415985668474,0.101484614343041
"WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D",882,7,0.00107160999004486,0.101484614343041
"IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR",544,5,0.00108832608510896,0.101484614343041
"MOOTHA_FFA_OXYDATION",22,1,0.00109076366951986,0.101484614343041
