"","Node","Est","Conf95low","Conf95high","Pvalue","Mark"
"2","VAE24",1.90979222241754,1.27210041410697,2.85962560546691,0.00143598527131118,"Enhancer"
"3","VAE35",2.91301962990593,1.88994737548946,4.52541567033851,4.32132094473629e-07,"Enhancer"
"4","VAE43",1.10790475033406,0.758493925345935,1.59932223371134,0.579613058297065,"Enhancer"
"5","VAE91",2.30042021005324,1.68273287895333,3.14763444684582,8.64567655555382e-08,"Enhancer"
"6","VAE93",0.580552225394358,0.288513711509309,1.08885038929169,0.0978929409343511,"Enhancer"
"7","VAE22",2.50719546056247,1.93262819062305,3.25705201753477,1.33830971271217e-12,"Enhancer"
"8","VAE63",0.11542183647158,0.0455071502590937,0.244695415849845,2.05602380520145e-14,"Enhancer"
"21","VAE24",2.47544619656628,1.62901834544194,3.81891505059939,6.45351049536416e-06,"OpenSea"
"31","VAE35",2.84700309190341,1.80622738903617,4.58560055527099,1.37774769362215e-06,"OpenSea"
"41","VAE43",1.79332119105891,1.2578964977231,2.57016028004459,0.000891286390841723,"OpenSea"
"51","VAE91",2.17057800192456,1.57636022441234,3.00917821175157,7.91827726508042e-07,"OpenSea"
"61","VAE93",1.76414010835758,1.03183934200265,3.0525648166932,0.0282090037353582,"OpenSea"
"71","VAE22",2.00676944603875,1.5406733628388,2.62406589201322,8.27735316498689e-08,"OpenSea"
"81","VAE63",0.933743714388291,0.652706612501275,1.32833301398282,0.730428842835299,"OpenSea"
"22","VAE24",0.0339991369474609,0.000856933591323313,0.193714801411579,2.67594022447065e-10,"Island"
"32","VAE35",0.244315806039901,0.0872324953298559,0.553976892784825,7.76139998893171e-05,"Island"
"42","VAE43",0.079588776764958,0.0161967483361218,0.23775874853813,2.76205545095232e-11,"Island"
"52","VAE91",0.0416894103976985,0.00502308487136539,0.152978816364597,8.24507673591893e-16,"Island"
"62","VAE93",0.382015432160972,0.134362605079998,0.886045301283453,0.0197528064723202,"Island"
"72","VAE22",0.401582466886747,0.25421829730164,0.609089628422385,1.91782492409974e-06,"Island"
"82","VAE63",1.39359488658978,0.935602955844088,2.039828495568,0.0808794287866418,"Island"
"23","VAE24",0.483988934963855,0.203086973597963,0.992809983075079,0.0507049430103364,"N_Shore"
"33","VAE35",0.263993458893615,0.0703900492897542,0.700396886350554,0.0028114907692433,"N_Shore"
"43","VAE43",1.01005523811916,0.594627306735057,1.63379608291959,0.903652968956118,"N_Shore"
"53","VAE91",0.401800125087043,0.19655628690304,0.738847786119407,0.00150442564043722,"N_Shore"
"63","VAE93",0.75286742251078,0.288946945659531,1.66010087066055,0.588816132742289,"N_Shore"
"73","VAE22",0.880830406937213,0.587135745093042,1.28231453970429,0.585857563113343,"N_Shore"
"83","VAE63",0.767977903514068,0.425281781297133,1.29893922341418,0.397022727852084,"N_Shore"
"24","VAE24",0.591240583625084,0.231536368899351,1.26567305491609,0.207567049805495,"S_Shore"
"34","VAE35",0.999130048640282,0.461759081494796,1.93288498314512,1,"S_Shore"
"44","VAE43",1.50919596667091,0.899270120226104,2.41951650530453,0.0951048864336419,"S_Shore"
"54","VAE91",0.735265567118173,0.392674498189246,1.27168760159072,0.323412875962647,"S_Shore"
"64","VAE93",0.731514183534069,0.228606500716516,1.81134997525963,0.680014348364389,"S_Shore"
"74","VAE22",0.775019870809916,0.470130903620903,1.21476550558752,0.302151206275818,"S_Shore"
"84","VAE63",0.715253391698258,0.348031370057964,1.32457221763199,0.336927019375632,"S_Shore"
"25","VAE24",0.594173466709577,0.120504963451169,1.78768123960646,0.491851985688317,"N_Shelf"
"35","VAE35",1.39560567463794,0.498120686852284,3.16613885566755,0.454615588332181,"N_Shelf"
"45","VAE43",0.610804491568264,0.163892399455718,1.60258227283475,0.420123927072999,"N_Shelf"
"55","VAE91",2.66723486899728,1.5822367043582,4.27234596230017,0.000193766973286302,"N_Shelf"
"65","VAE93",1.40376632711351,0.369715733871863,3.79764547741582,0.537270881664693,"N_Shelf"
"75","VAE22",0.948465282406088,0.466630953625661,1.73055435573557,1,"N_Shelf"
"85","VAE63",1.57508784572915,0.73699633003304,2.99546342304237,0.158297965349129,"N_Shelf"
"26","VAE24",4.48027719675488,2.49450947417201,7.60078565485786,1.56204484493812e-06,"S_Shelf"
