"","nodeLabel","CpG","correlations"
"cg00238899","VAE91","cg00238899",-0.732422763344955
"cg15468564","VAE91","cg15468564",-0.702952499532068
"cg12802537","VAE91","cg12802537",-0.702406411017384
"cg12927715","VAE91","cg12927715",-0.692929923614077
"cg11220043","VAE91","cg11220043",-0.69279327289369
"cg17095936","VAE91","cg17095936",-0.687277859396941
"cg24448167","VAE91","cg24448167",-0.685430021421146
"cg01766957","VAE91","cg01766957",-0.683767862497665
"cg24517066","VAE91","cg24517066",-0.683027063518977
"cg11732673","VAE91","cg11732673",-0.681946365181561
"cg22227621","VAE91","cg22227621",-0.678634044016884
"cg10158280","VAE91","cg10158280",-0.677589603445792
"cg10774440","VAE91","cg10774440",-0.675715114955056
"cg03847535","VAE91","cg03847535",-0.673052312011396
"cg18792528","VAE91","cg18792528",-0.668695761904203
"cg19484481","VAE91","cg19484481",-0.666929829276173
"cg14201634","VAE91","cg14201634",-0.666661346115849
"cg00234655","VAE91","cg00234655",-0.666118180712592
"cg25797865","VAE91","cg25797865",-0.665570637564071
"cg22830638","VAE91","cg22830638",-0.665299399251064
"cg24867601","VAE91","cg24867601",-0.664839971394252
"cg24428389","VAE91","cg24428389",-0.6644235057619
"cg11360416","VAE91","cg11360416",0.66436856611757
"cg05865769","VAE91","cg05865769",-0.6630039428268
"cg06359931","VAE91","cg06359931",-0.662055712809661
"cg18664866","VAE91","cg18664866",-0.66165020182357
"cg08819431","VAE91","cg08819431",-0.661264775530954
"cg02593924","VAE91","cg02593924",-0.66056685593978
"cg21019662","VAE91","cg21019662",-0.660372581182673
"cg12633764","VAE91","cg12633764",-0.660114727916332
"cg25406699","VAE91","cg25406699",-0.660026332445128
"cg03884543","VAE91","cg03884543",-0.65993627199138
"cg07133174","VAE91","cg07133174",-0.65976850970815
"cg20066001","VAE91","cg20066001",-0.659268706374739
"cg12749164","VAE91","cg12749164",-0.658472929293802
"cg02147316","VAE91","cg02147316",-0.658447880615746
"cg16269943","VAE91","cg16269943",-0.658015808189076
"cg01977473","VAE91","cg01977473",-0.65797590420735
"cg08471972","VAE91","cg08471972",-0.657955840159857
"cg00857862","VAE91","cg00857862",-0.657218414007221
"cg17317266","VAE91","cg17317266",-0.656713305305841
"cg17520681","VAE91","cg17520681",-0.656256343866533
"cg10822545","VAE91","cg10822545",-0.655658718680528
"cg22885052","VAE91","cg22885052",-0.654597442322054
"cg25100011","VAE91","cg25100011",-0.654106836743921
"cg08457620","VAE91","cg08457620",-0.653505040887864
"cg10716120","VAE91","cg10716120",-0.653327646680726
"cg02674804","VAE91","cg02674804",-0.653067219474835
"cg24239195","VAE91","cg24239195",-0.653066514868158
"cg22246344","VAE91","cg22246344",-0.65295368533861
"cg03660010","VAE91","cg03660010",-0.652100117069861
"cg11928198","VAE91","cg11928198",-0.652026286716129
"cg02927058","VAE91","cg02927058",-0.65194692981595
"cg26452989","VAE91","cg26452989",-0.651866492004555
"cg09996597","VAE91","cg09996597",-0.65171655034556
"cg14468280","VAE91","cg14468280",-0.650502065665505
"cg13555519","VAE91","cg13555519",-0.650201435118531
"cg05208483","VAE91","cg05208483",-0.650129151950184
"cg17933300","VAE91","cg17933300",-0.649840034324453
"cg21243021","VAE91","cg21243021",-0.64968071507027
"cg00784161","VAE91","cg00784161",-0.64962841006082
"cg12601909","VAE91","cg12601909",-0.649469408272503
"cg27109006","VAE91","cg27109006",-0.649262587222881
"cg21718627","VAE91","cg21718627",-0.648406225571233
"cg02570643","VAE91","cg02570643",-0.648121576068025
"cg02220284","VAE91","cg02220284",-0.647563534626856
"cg06740440","VAE91","cg06740440",-0.646449950024282
"cg13956645","VAE91","cg13956645",-0.64637866081176
"cg19093782","VAE91","cg19093782",-0.646366776312682
"cg12995421","VAE91","cg12995421",-0.646325139138196
"cg07922924","VAE91","cg07922924",-0.645300942356558
"cg06525193","VAE91","cg06525193",-0.645147008352539
"cg00040708","VAE91","cg00040708",-0.644945198546625
"cg06472688","VAE91","cg06472688",-0.643960569179302
"cg16101213","VAE91","cg16101213",-0.643768647031329
"cg01901579","VAE91","cg01901579",-0.643679156952064
"cg14220777","VAE91","cg14220777",-0.643640258492039
"cg26690744","VAE91","cg26690744",-0.643445932438579
"cg02784956","VAE91","cg02784956",-0.642767159299973
"cg16311740","VAE91","cg16311740",-0.642749579144463
"cg18009093","VAE91","cg18009093",-0.642625927896299
"cg17469471","VAE91","cg17469471",-0.642607993165451
"cg10984962","VAE91","cg10984962",-0.642357087110032
"cg07121050","VAE91","cg07121050",-0.64201187197283
"cg09283223","VAE91","cg09283223",-0.64199411379973
"cg02603876","VAE91","cg02603876",-0.641854447859773
"cg16935734","VAE91","cg16935734",-0.64179122185221
"cg11844530","VAE91","cg11844530",-0.641706527496443
"cg02694732","VAE91","cg02694732",-0.640982508837253
"cg07159114","VAE91","cg07159114",-0.640906755303432
"cg04164584","VAE91","cg04164584",-0.638493904063588
"cg01800148","VAE91","cg01800148",-0.638310782289179
"cg12116851","VAE91","cg12116851",-0.638168805944121
"cg21913981","VAE91","cg21913981",-0.637846604041186
"cg05068636","VAE91","cg05068636",-0.637390729261413
"cg26059919","VAE91","cg26059919",-0.637363435941197
"cg24457743","VAE91","cg24457743",-0.637215142017359
"cg11840104","VAE91","cg11840104",-0.637094782135292
"cg06174454","VAE91","cg06174454",-0.636922218299533
"cg27402634","VAE91","cg27402634",-0.636495345530958
"cg15417287","VAE91","cg15417287",-0.636048270917595
"cg17815820","VAE91","cg17815820",-0.635965000397214
"cg23253991","VAE91","cg23253991",-0.635941570822202
"cg03569412","VAE91","cg03569412",-0.635709464610949
"cg10090241","VAE91","cg10090241",-0.635313377164847
"cg04556393","VAE91","cg04556393",-0.635311386336222
"cg14300531","VAE91","cg14300531",-0.635162048484716
"cg19377326","VAE91","cg19377326",-0.635063496660531
"cg13860360","VAE91","cg13860360",-0.635042867908454
"cg12236845","VAE91","cg12236845",-0.634986723818096
"cg12893852","VAE91","cg12893852",-0.634576011938539
"cg24659037","VAE91","cg24659037",-0.634552048766996
"cg19913559","VAE91","cg19913559",-0.634476742877287
"cg24797665","VAE91","cg24797665",-0.634109494301805
"cg13468772","VAE91","cg13468772",-0.634036369538394
"cg09548241","VAE91","cg09548241",-0.633928223412749
"cg04847649","VAE91","cg04847649",-0.633765420878251
"cg03196766","VAE91","cg03196766",-0.633312547137292
"cg11522145","VAE91","cg11522145",-0.633129308629071
"cg20367521","VAE91","cg20367521",-0.633105126833448
"cg26094842","VAE91","cg26094842",-0.632868294447546
"cg04147969","VAE91","cg04147969",-0.632859251107918
"cg02291439","VAE91","cg02291439",-0.632758024422345
"cg10010734","VAE91","cg10010734",-0.632743402363679
"cg15728280","VAE91","cg15728280",-0.632638840218977
"cg17063452","VAE91","cg17063452",-0.632094537606171
"cg13478737","VAE91","cg13478737",-0.631831080749245
"cg18090064","VAE91","cg18090064",-0.631751432450775
"cg08462372","VAE91","cg08462372",-0.631690060254945
"cg27121959","VAE91","cg27121959",-0.631563173327322
"cg03738329","VAE91","cg03738329",-0.63150582138283
"cg10159607","VAE91","cg10159607",-0.631487362063279
"cg21880079","VAE91","cg21880079",-0.63140910665047
"cg06579154","VAE91","cg06579154",0.631283210274291
"cg10754794","VAE91","cg10754794",-0.631279521147321
"cg09093409","VAE91","cg09093409",-0.630744362502569
"cg22855021","VAE91","cg22855021",-0.63051266575539
"cg20169521","VAE91","cg20169521",-0.630369494453608
"cg19547141","VAE91","cg19547141",-0.629932543145144
"cg02764722","VAE91","cg02764722",-0.62963817431778
"cg05260442","VAE91","cg05260442",-0.628907812073234
"cg11056766","VAE91","cg11056766",-0.628556043090324
"cg16895493","VAE91","cg16895493",-0.628520359730236
"cg26153688","VAE91","cg26153688",-0.628512704973616
"cg00165078","VAE91","cg00165078",-0.628145088739098
"cg03632245","VAE91","cg03632245",-0.628138762215444
"cg21201357","VAE91","cg21201357",-0.628015396863868
"cg21548220","VAE91","cg21548220",-0.627667322860688
"cg27607584","VAE91","cg27607584",-0.627558296352737
"cg24262376","VAE91","cg24262376",-0.627205507149629
"cg09814128","VAE91","cg09814128",-0.626952144356141
"cg23124613","VAE91","cg23124613",-0.626769934936856
"cg07551677","VAE91","cg07551677",-0.626591918627193
"cg25884442","VAE91","cg25884442",-0.626424338424554
"cg08989290","VAE91","cg08989290",-0.626229341813282
"cg13792581","VAE91","cg13792581",-0.626220169455685
"cg21425296","VAE91","cg21425296",-0.626198682517502
"cg13007988","VAE91","cg13007988",-0.626188451349394
"cg11728747","VAE91","cg11728747",-0.626129714632154
"cg16025492","VAE91","cg16025492",-0.625968981772629
"cg18805612","VAE91","cg18805612",-0.625948723346437
"cg08056229","VAE91","cg08056229",-0.625931695904722
"cg01342981","VAE91","cg01342981",0.625905945434649
"cg24160371","VAE91","cg24160371",-0.625815563140752
"cg23067466","VAE91","cg23067466",-0.625718520245437
"cg26625028","VAE91","cg26625028",-0.625555021304928
"cg10056096","VAE91","cg10056096",-0.625376855165987
"cg12075442","VAE91","cg12075442",-0.625350256170488
"cg07875121","VAE91","cg07875121",-0.625267265461344
"cg14802097","VAE91","cg14802097",-0.625093908555191
"cg19696870","VAE91","cg19696870",-0.624729827787673
"cg04858834","VAE91","cg04858834",-0.624521520184432
"cg10096052","VAE91","cg10096052",-0.624510877546022
"cg14851608","VAE91","cg14851608",-0.624418575145235
"cg14800014","VAE91","cg14800014",-0.624364753246693
"cg18263455","VAE91","cg18263455",-0.624296779280681
"cg05745622","VAE91","cg05745622",-0.624270766041088
"cg09994035","VAE91","cg09994035",-0.624121085605976
"cg03820176","VAE91","cg03820176",-0.623838746525136
"cg03103549","VAE91","cg03103549",-0.623797413482768
"cg01643712","VAE91","cg01643712",-0.623664384322941
"cg06894549","VAE91","cg06894549",-0.623480252199437
"cg14529268","VAE91","cg14529268",-0.623424078665342
"cg26389737","VAE91","cg26389737",-0.623335928828901
"cg25932315","VAE91","cg25932315",-0.623199774515563
"cg19793807","VAE91","cg19793807",-0.623035173913939
"cg21670987","VAE91","cg21670987",-0.622801876852984
"cg06548710","VAE91","cg06548710",-0.622345767539931
"cg07918509","VAE91","cg07918509",-0.622183946729825
"cg26823144","VAE91","cg26823144",-0.621803776122407
"cg03830929","VAE91","cg03830929",-0.621562591605623
"cg19411084","VAE91","cg19411084",-0.621463626826985
"cg22258388","VAE91","cg22258388",-0.621405251275897
"cg11307417","VAE91","cg11307417",-0.6207215910643
"cg04737124","VAE91","cg04737124",-0.620590239557135
"cg13689006","VAE91","cg13689006",-0.620439547725957
"cg13916928","VAE91","cg13916928",-0.620370657666495
"cg26938676","VAE91","cg26938676",-0.62035344849336
"cg20308540","VAE91","cg20308540",0.620225549650067
"cg26607528","VAE91","cg26607528",-0.620000556010638
"cg11419814","VAE91","cg11419814",-0.619900069814353
"cg05060976","VAE91","cg05060976",-0.619728908143844
"cg15344640","VAE91","cg15344640",-0.619552026351441
"cg04536704","VAE91","cg04536704",-0.619526353595893
"cg23199907","VAE91","cg23199907",-0.619431931631048
"cg22759185","VAE91","cg22759185",-0.619121680766902
"cg10625488","VAE91","cg10625488",-0.61886149380968
"cg12944572","VAE91","cg12944572",-0.618430158507942
"cg00348992","VAE91","cg00348992",0.61799503889981
"cg24299913","VAE91","cg24299913",-0.617681761034264
"cg11473616","VAE91","cg11473616",-0.61752350781226
"cg07967207","VAE91","cg07967207",-0.617383148352886
"cg22291189","VAE91","cg22291189",-0.617199128060012
"cg04757243","VAE91","cg04757243",-0.617143252901303
"cg03021260","VAE91","cg03021260",-0.617130564648617
"cg24603926","VAE91","cg24603926",-0.617127050919722
"cg03228065","VAE91","cg03228065",-0.617075232988204
"cg06172859","VAE91","cg06172859",-0.616944984308649
"cg17710947","VAE91","cg17710947",-0.61673210440051
"cg04302618","VAE91","cg04302618",-0.616588529866577
"cg00522588","VAE91","cg00522588",-0.616567859309005
"cg15043723","VAE91","cg15043723",-0.616554704032356
"cg26025557","VAE91","cg26025557",-0.616316562322693
"cg11719784","VAE91","cg11719784",-0.616272399921084
"cg21181092","VAE91","cg21181092",-0.616240866561645
"cg00638845","VAE91","cg00638845",-0.616042862235986
"cg20661290","VAE91","cg20661290",-0.615935477536473
"cg20414015","VAE91","cg20414015",-0.615730124938505
"cg13499600","VAE91","cg13499600",-0.615321839591069
"cg03670908","VAE91","cg03670908",-0.615240100462731
"cg18603581","VAE91","cg18603581",-0.615175468301419
"cg07237830","VAE91","cg07237830",-0.614815161114094
"cg18769357","VAE91","cg18769357",-0.61429893770185
"cg05739476","VAE91","cg05739476",0.614277405635941
"cg12211557","VAE91","cg12211557",-0.614127152937588
"cg10422047","VAE91","cg10422047",-0.614092896141197
"cg13656831","VAE91","cg13656831",-0.614065676619692
"cg06513139","VAE91","cg06513139",-0.614011122486971
"cg13214422","VAE91","cg13214422",-0.613852324134429
"cg18556822","VAE91","cg18556822",-0.613790943027042
"cg02285386","VAE91","cg02285386",-0.613466486300954
"cg25758978","VAE91","cg25758978",-0.613262323395427
"cg02228403","VAE91","cg02228403",-0.613139017275869
"cg25306932","VAE91","cg25306932",-0.61292718397328
"cg17374727","VAE91","cg17374727",-0.612873815322503
"cg16163765","VAE91","cg16163765",-0.612830045920809
"cg06799163","VAE91","cg06799163",-0.612773615854623
"cg25961292","VAE91","cg25961292",-0.612583095983781
"cg16937168","VAE91","cg16937168",-0.612573076321474
"cg18396911","VAE91","cg18396911",-0.612394435269011
"cg06115679","VAE91","cg06115679",-0.612384838345212
"cg15058572","VAE91","cg15058572",-0.612383120349919
"cg06058699","VAE91","cg06058699",-0.612351299933408
"cg00869582","VAE91","cg00869582",-0.612294774798882
"cg04590036","VAE91","cg04590036",-0.612037753659742
"cg07139503","VAE91","cg07139503",-0.611351809905306
"cg00166696","VAE91","cg00166696",-0.611283145751006
"cg09230646","VAE91","cg09230646",-0.611232125266476
"cg14055379","VAE91","cg14055379",-0.611159715000174
"cg08240383","VAE91","cg08240383",-0.610828698135045
"cg24799947","VAE91","cg24799947",-0.610745417528334
"cg10131001","VAE91","cg10131001",-0.610727248808177
"cg13209892","VAE91","cg13209892",-0.610595952873998
"cg05623411","VAE91","cg05623411",-0.610474296194485
"cg04453352","VAE91","cg04453352",0.610398679144883
"cg02384419","VAE91","cg02384419",-0.610322326443736
"cg03372603","VAE91","cg03372603",-0.610157229962081
"cg16924565","VAE91","cg16924565",-0.610051885196414
"cg27222157","VAE91","cg27222157",-0.609985182857202
"cg08036487","VAE91","cg08036487",-0.609886138412421
"cg14624950","VAE91","cg14624950",-0.609718365523286
"cg05230854","VAE91","cg05230854",-0.60971265547904
"cg03022263","VAE91","cg03022263",-0.609378246505625
"cg15148513","VAE91","cg15148513",-0.609276469456325
"cg18745782","VAE91","cg18745782",-0.609223541540387
"cg25694032","VAE91","cg25694032",0.609209687496384
"cg03361085","VAE91","cg03361085",-0.60916616569499
"cg24512973","VAE91","cg24512973",-0.609131609597335
"cg12588200","VAE91","cg12588200",-0.609090656468091
"cg06658615","VAE91","cg06658615",-0.609080997292397
"cg13027851","VAE91","cg13027851",-0.609012069630793
"cg05488279","VAE91","cg05488279",-0.608802700110769
"cg01942646","VAE91","cg01942646",-0.60878732427286
"cg16463044","VAE91","cg16463044",-0.608737767050724
"cg00748072","VAE91","cg00748072",-0.608355254267413
"cg22147546","VAE91","cg22147546",-0.608306267005655
"cg00930618","VAE91","cg00930618",-0.60805683597874
"cg19413725","VAE91","cg19413725",-0.607848252232024
"cg06107796","VAE91","cg06107796",-0.607830109410351
"cg23233742","VAE91","cg23233742",-0.607805914898925
"cg24454374","VAE91","cg24454374",-0.607479811318539
"cg19243330","VAE91","cg19243330",-0.607479596093339
"cg12580580","VAE91","cg12580580",-0.607335054119185
"cg11127874","VAE91","cg11127874",-0.607283299099087
"cg18589504","VAE91","cg18589504",-0.607273433498661
"cg14181111","VAE91","cg14181111",-0.607097534178024
"cg14771313","VAE91","cg14771313",-0.606917032608732
"cg18886239","VAE91","cg18886239",-0.606860017787856
"cg11037787","VAE91","cg11037787",-0.606719314937521
"cg03441279","VAE91","cg03441279",-0.606622036886302
"cg14659678","VAE91","cg14659678",-0.606153550458819
"cg08115732","VAE91","cg08115732",-0.606125238785465
"cg19698200","VAE91","cg19698200",-0.606122834135225
"cg04452534","VAE91","cg04452534",-0.605999770047399
"cg01287376","VAE91","cg01287376",-0.605930432481724
"cg12405139","VAE91","cg12405139",-0.605910828075972
"cg17016175","VAE91","cg17016175",-0.605901059468826
"cg14285539","VAE91","cg14285539",-0.60583922546933
"cg24953703","VAE91","cg24953703",-0.605768110806882
"cg07385362","VAE91","cg07385362",-0.605631429541717
"cg08972357","VAE91","cg08972357",-0.605608438225962
"cg20655220","VAE91","cg20655220",-0.605584213323219
"cg04457051","VAE91","cg04457051",-0.605561194078888
"cg03606098","VAE91","cg03606098",-0.605437988653791
"cg11930274","VAE91","cg11930274",-0.605338282193226
"cg19311375","VAE91","cg19311375",-0.605332743031036
"cg08525712","VAE91","cg08525712",-0.605206893377194
"cg11348653","VAE91","cg11348653",-0.605157932997836
"cg24477567","VAE91","cg24477567",-0.60501305500993
